instance,makespan,FA,OS
ta11,949,"[0,3,1,2,0,0,3,1,1,1,1,0,2,3,0,0,2,0,1,2]","[17,18,7,2,3,5,4,5,10,8,14,5,4,0,6,17,18,11,18,4,14,7,4,4,1,6,14,0,0,3,8,0,3,17,15,11,16,13,16,9,13,16,5,12,13,2,16,13,15,15,14,6,19,4,2,12,1,9,3,11,8,8,19,18,6,1,16,0,8,2,10,16,12,10,17,17,8,9,11,4,7,12,11,7,17,5,3,9,19,10,2,3,14,13,8,0,11,11,13,18,1,7,8,15,10,10,10,15,13,13,16,10,6,3,12,10,4,12,1,14,11,1,14,7,19,8,15,6,11,9,19,14,18,17,10,19,4,12,13,10,4,3,11,8,16,11,14,17,19,9,2,17,17,12,8,6,3,3,12,16,11,1,6,7,4,15,7,7,0,3,17,18,8,10,15,18,17,0,18,15,0,16,5,2,7,1,9,13,9,1,14,12,13,17,1,2,0,2,6,15,12,4,15,19,0,16,16,18,15,9,14,18,5,8,1,13,3,7,16,5,1,18,18,0,9,19,11,15,14,2,15,4,19,11,5,7,2,6,6,9,6,5,10,19,2,11,18,16,9,17,7,0,13,14,6,12,5,1,14,1,19,15,6,3,18,10,14,16,19,2,13,0,5,17,19,5,10,4,12,12,9,9,9,3,3,8,5,5,0,2,7,4,12,6,13,2,19,1,7,8]"
ta12,1012,"[0,1,3,0,1,3,0,0,1,0,2,3,3,2,1,2,2,2,1,2]","[12,8,7,5,1,8,9,11,9,19,5,8,4,4,15,4,4,16,19,3,4,18,3,14,5,18,0,11,17,16,9,19,11,12,7,3,1,4,2,1,11,10,4,6,10,16,17,6,3,6,17,8,3,5,5,19,9,8,8,10,16,7,13,18,13,1,2,13,2,15,9,9,6,9,2,1,12,11,2,10,13,10,0,17,17,3,9,10,0,14,14,12,3,9,5,16,19,11,6,17,9,15,6,16,5,7,7,5,18,19,11,8,13,2,0,9,4,3,18,0,13,4,5,16,9,6,18,17,12,1,16,11,10,4,2,13,17,0,2,1,18,12,7,16,18,15,11,19,14,3,5,10,12,13,5,13,6,6,14,0,2,2,1,19,15,8,16,19,18,14,7,16,13,15,7,8,7,12,3,1,11,6,0,6,18,8,13,4,15,7,7,19,5,13,8,1,17,2,15,7,14,19,16,13,14,4,10,0,13,4,11,13,11,0,5,17,0,18,12,19,12,10,5,3,2,16,7,1,12,14,19,18,2,15,17,18,14,15,10,3,11,3,10,1,18,15,0,8,17,5,6,15,17,15,1,14,7,12,14,11,17,4,0,12,19,2,3,0,6,8,2,1,10,3,18,9,4,14,8,17,11,10,0,14,7,9,16,15,15,6,19,12,12,16,8,14,1,10,6,9]"
ta13,919,"[3,0,0,1,1,0,3,2,3,3,0,1,3,0,0,2,2,3,1,1]","[8,6,18,5,19,4,2,18,14,19,11,2,7,3,16,15,8,1,5,11,18,3,12,14,15,12,2,7,13,6,7,15,19,16,1,3,5,10,3,9,6,13,13,17,4,12,1,15,8,2,5,11,9,0,19,11,15,0,4,7,13,15,7,8,16,14,10,14,6,14,5,7,14,10,3,18,18,19,4,4,9,5,10,8,2,19,11,14,9,1,18,17,4,0,16,8,1,6,15,10,8,17,6,7,18,14,9,11,4,12,5,10,0,14,12,1,1,11,10,13,17,13,16,16,18,0,5,8,11,5,18,2,0,10,5,1,8,15,19,12,6,1,10,13,9,7,17,12,0,13,5,12,17,17,8,1,0,2,6,12,0,16,3,3,4,8,9,3,3,5,5,4,6,2,11,16,18,11,6,9,4,19,5,16,7,12,6,9,16,16,4,11,0,12,2,13,2,4,13,6,17,15,18,17,6,16,5,2,0,3,10,7,1,11,10,11,15,19,16,16,7,16,15,15,2,11,1,9,7,14,13,4,6,17,18,14,9,9,3,1,15,14,3,13,7,3,8,19,2,11,12,19,10,19,9,17,12,13,3,9,12,17,8,14,18,10,8,15,0,17,1,2,10,17,0,19,14,19,19,10,4,14,4,7,6,13,18,8,9,0,3,18,2,15,13,17,0,12,1,7]"
ta14,990,"[2,2,0,3,3,1,3,2,3,3,1,2,1,0,1,2,0,1,2,1]","[11,5,18,3,12,16,9,1,18,7,0,2,8,13,14,14,12,11,11,1,3,19,18,15,7,8,10,14,14,7,0,6,8,12,9,5,1,12,16,1,1,16,11,7,8,18,12,5,15,5,3,6,10,3,15,6,12,8,4,15,13,7,10,14,10,6,9,18,18,17,11,9,3,4,19,9,12,8,0,15,7,1,17,3,15,16,2,7,0,17,16,5,11,1,0,11,0,14,19,14,12,4,5,13,0,18,6,16,7,19,4,11,14,7,16,8,19,2,0,13,0,0,9,6,12,11,12,2,2,12,19,0,7,10,6,9,12,10,18,13,18,16,5,16,16,15,9,6,9,13,11,10,10,4,10,5,4,19,17,3,2,5,13,1,8,9,3,18,11,3,0,4,3,5,16,2,5,14,4,7,19,4,13,15,10,15,7,1,8,15,15,12,6,19,9,17,16,10,10,1,7,3,7,4,1,17,5,0,6,13,17,6,4,17,2,18,8,15,10,9,3,17,19,2,12,17,4,6,8,4,11,19,14,4,0,0,2,18,7,9,15,6,14,19,13,6,8,5,9,1,16,3,1,8,14,4,1,1,13,18,2,13,12,3,15,18,2,13,14,9,11,5,17,17,2,2,17,2,19,17,13,13,6,11,17,5,15,18,16,16,11,8,3,14,8,19,10,14,19,10]"
ta15,934,"[2,1,0,1,1,1,1,0,3,1,2,3,0,0,3,1,2,0,2,2]","[10,12,11,6,6,15,4,8,17,19,3,6,6,15,0,18,6,2,13,14,3,13,3,3,19,1,11,12,14,3,1,2,10,0,18,3,9,17,8,19,5,17,2,3,3,11,8,4,5,4,16,1,8,18,15,8,3,5,13,15,16,3,1,14,15,18,1,5,18,11,8,13,11,17,1,13,2,2,13,2,13,0,18,14,17,12,15,7,15,6,14,14,5,19,4,15,16,11,11,5,2,17,7,8,14,9,9,12,8,7,5,9,2,9,12,17,7,19,12,8,17,12,11,12,9,10,9,10,16,4,3,19,10,8,14,0,11,7,4,10,15,17,5,16,9,13,19,1,13,0,15,5,18,18,5,7,10,16,0,16,4,14,14,8,3,14,12,14,10,11,15,11,18,6,0,9,9,4,17,6,4,1,11,2,12,0,13,6,1,0,16,16,2,19,7,15,15,1,13,1,0,19,7,5,5,16,9,18,3,0,2,19,2,11,4,1,18,16,7,14,16,14,8,1,2,13,8,0,1,4,13,19,0,19,4,11,10,6,17,12,5,18,6,5,6,6,12,3,7,18,7,17,10,10,6,14,9,7,19,12,12,4,5,3,13,13,11,10,17,19,16,4,7,10,7,12,17,15,7,16,8,18,9,19,0,10,15,6,17,2,10,9,2,0,16,18,8,4,9,1]"
ta16,957,"[2,2,1,3,0,1,2,1,2,3,2,3,3,0,3,0,1,1,0,0]","[4,5,3,14,0,4,6,4,2,9,3,16,8,5,16,6,9,6,8,1,7,17,0,10,11,11,9,12,13,8,7,15,18,16,10,14,3,7,2,16,15,13,18,17,18,1,7,17,16,18,0,18,13,0,5,2,17,0,15,9,6,12,10,11,13,4,6,5,11,3,17,14,6,8,19,5,8,15,14,6,0,19,16,14,18,12,12,4,12,19,0,1,3,12,10,8,14,19,6,10,4,11,7,7,12,16,6,2,2,9,1,9,16,10,15,18,5,12,9,15,14,9,1,14,8,0,1,3,17,5,4,11,1,14,19,0,2,8,9,9,10,1,17,2,19,18,11,13,10,18,11,11,8,11,10,7,4,0,13,13,10,0,7,8,17,0,7,15,10,9,5,1,6,12,16,19,15,14,14,17,3,19,13,8,2,5,2,18,1,13,8,11,1,10,16,12,17,7,4,18,6,10,15,16,8,7,3,3,5,16,18,16,13,2,1,19,19,13,0,17,18,15,14,14,17,10,17,3,4,7,6,3,18,2,13,12,6,4,9,4,5,11,15,18,3,12,10,9,19,2,13,2,19,13,19,7,12,1,1,8,8,2,11,0,6,19,15,14,1,3,19,6,13,12,11,7,9,9,15,2,16,15,15,17,5,5,5,12,16,7,3,4,14,0,5,4,17,3,4,11]"
ta17,993,"[0,1,0,2,3,1,2,2,0,3,3,1,3,1,0,2,1,2,0,2]","[1,8,12,2,18,13,16,17,5,1,19,12,4,0,3,0,14,10,14,0,7,2,15,19,6,12,12,3,3,12,18,14,15,13,18,15,3,18,6,1,2,2,0,15,13,11,12,17,4,4,15,13,7,7,19,7,8,17,7,1,1,3,8,15,2,6,0,6,8,17,12,12,16,11,13,1,6,2,15,7,11,13,16,19,12,9,3,19,15,11,6,16,14,4,18,17,3,6,17,3,5,8,14,19,19,13,15,8,17,11,18,3,2,9,18,14,11,9,5,1,9,12,11,10,10,16,18,0,19,1,10,18,5,4,2,16,5,11,14,18,0,9,4,14,1,12,10,0,5,9,13,10,12,4,16,3,15,19,15,7,0,3,5,3,9,19,7,4,13,4,7,2,9,6,16,16,9,9,0,1,16,14,4,10,10,17,10,4,14,15,15,6,19,0,18,11,14,2,19,10,7,10,5,16,8,5,2,10,13,6,1,6,8,5,14,17,15,17,5,2,11,16,14,13,17,1,4,10,17,8,16,0,6,3,19,7,17,11,3,5,7,0,17,8,10,1,6,7,7,16,4,11,18,9,14,17,4,11,5,8,19,15,4,3,5,18,8,5,12,6,0,9,18,13,7,8,2,1,1,9,13,11,8,19,10,13,0,2,2,8,18,9,11,14,12,16,9,6,13,12]"
ta18,958,"[3,3,0,0,1,1,2,3,0,0,2,2,2,3,2,0,1,1,3,1]","[6,14,2,7,7,11,2,19,19,16,19,18,11,13,18,18,0,11,19,19,3,10,17,12,0,7,16,14,6,16,18,11,2,12,2,16,19,11,12,15,0,12,1,9,11,6,0,19,1,17,11,13,5,11,7,0,15,9,12,17,15,8,10,1,6,4,4,7,14,13,10,15,1,15,19,17,4,5,2,3,8,12,17,9,14,17,19,17,1,3,1,19,3,4,13,18,9,15,8,14,8,3,10,18,8,11,8,0,8,15,6,4,18,3,12,15,3,14,9,9,16,0,11,15,3,7,16,9,5,3,2,10,13,2,6,1,2,18,1,11,13,16,18,3,9,7,8,8,3,6,17,4,5,19,14,16,17,6,13,2,4,10,18,1,4,14,5,5,1,5,3,12,18,6,5,10,10,13,19,13,8,0,2,17,7,4,12,17,14,9,16,19,0,9,10,0,2,15,16,5,13,4,12,18,16,16,7,11,9,12,10,11,10,6,5,13,14,6,18,9,10,2,17,8,6,0,12,7,7,1,10,9,15,13,9,4,16,2,5,15,6,8,14,19,7,14,0,9,11,8,19,10,18,7,12,3,18,4,13,4,5,6,15,12,2,10,5,3,17,16,5,1,12,11,0,14,1,14,13,4,1,4,5,17,14,16,15,8,1,7,8,7,3,6,0,2,0,15,17,13]"
ta19,920,"[2,2,2,3,2,2,3,2,3,3,1,3,1,3,0,0,2,2,1,1]","[0,7,10,18,19,19,10,14,3,9,9,17,9,13,1,17,15,3,4,11,2,1,12,0,11,10,0,5,12,16,10,14,10,3,2,4,18,7,4,17,9,6,2,17,6,18,8,8,5,18,14,12,2,10,15,16,11,6,5,9,3,0,2,5,1,1,4,11,2,1,7,4,7,6,17,4,2,10,17,5,2,0,9,3,6,6,5,11,16,3,2,3,16,4,13,9,12,13,15,8,11,8,13,2,13,11,4,16,14,15,7,3,17,1,7,15,7,8,0,9,5,1,14,8,9,15,19,2,9,15,7,6,10,9,18,1,13,16,16,18,19,3,8,11,13,8,17,0,19,3,7,10,17,4,14,9,15,18,5,8,11,15,18,12,0,5,3,16,18,5,10,16,11,7,14,12,1,12,14,6,11,18,12,8,6,10,13,19,8,1,19,6,5,13,5,2,7,0,19,13,0,10,12,14,19,3,17,12,10,14,13,9,4,10,18,11,16,1,9,5,8,3,4,3,17,17,15,16,11,0,13,11,15,12,1,6,15,16,19,3,19,1,15,14,7,13,12,0,11,19,8,14,8,2,12,6,7,13,4,6,15,5,14,1,16,15,14,10,1,6,4,7,13,0,18,16,9,0,4,7,19,5,17,19,2,0,12,17,18,8,19,4,18,2,18,16,14,12,17,6]"
ta20,946,"[2,1,2,0,2,3,1,0,3,1,0,3,1,2,3,0,2,0,1,0]","[3,7,16,11,10,15,2,3,10,0,4,19,13,15,12,15,1,19,17,9,18,13,16,18,15,14,6,14,15,5,16,13,1,2,2,14,19,9,5,17,12,15,0,13,9,19,4,6,5,9,14,8,3,19,1,17,16,12,3,9,6,19,2,10,5,1,14,19,12,3,4,6,19,10,16,0,9,11,6,9,12,10,1,9,17,3,9,18,18,1,14,8,7,15,4,2,9,17,18,7,9,12,18,13,18,17,19,14,13,9,7,0,5,19,8,3,6,4,11,11,17,14,13,16,5,1,7,11,2,0,4,16,8,12,11,18,14,16,1,7,6,16,5,10,17,14,5,4,8,0,2,9,4,19,16,0,13,15,7,12,8,18,4,6,5,11,14,10,1,12,12,4,13,6,18,8,19,6,7,17,6,13,13,2,12,8,15,8,2,6,8,10,8,5,5,5,2,3,0,19,14,0,15,10,10,19,11,11,14,16,13,9,0,15,1,0,3,8,4,0,17,14,17,7,3,0,10,15,8,4,18,11,1,2,10,11,11,7,16,13,5,2,4,15,18,16,3,14,4,18,12,1,9,2,1,10,6,8,17,12,18,2,15,3,11,1,5,11,0,15,13,17,6,11,7,16,13,3,1,7,7,0,8,16,18,7,17,19,3,12,10,10,7,4,3,12,5,6,17,2]"
ta21,1221,"[0,1,1,3,1,2,3,3,2,1,3,0,2,1,1,0,2,3,0,2]","[11,19,9,10,17,17,2,14,1,4,1,6,19,12,5,11,4,12,14,5,5,0,9,4,7,8,9,19,0,14,7,3,5,3,12,12,18,13,14,18,1,17,17,9,18,15,7,2,19,6,16,13,19,13,3,4,3,16,17,14,11,19,1,1,10,8,14,19,14,13,7,6,13,7,2,2,10,17,14,13,11,4,16,19,18,15,11,10,9,15,8,4,1,18,2,12,11,13,13,1,18,15,18,16,13,3,7,7,2,5,4,7,14,11,11,12,0,12,9,2,0,14,3,15,10,4,3,0,9,15,16,17,12,4,18,10,4,15,18,19,9,8,8,5,18,16,17,0,1,1,12,9,5,14,8,8,5,18,6,17,12,16,13,17,6,14,8,0,14,15,19,3,15,1,6,5,14,8,1,11,14,5,16,2,15,6,8,17,9,7,6,18,11,17,11,7,11,7,1,6,4,10,3,16,3,14,7,16,6,5,17,15,8,5,7,6,8,5,12,6,19,7,15,10,10,4,19,13,3,19,10,14,16,11,19,2,9,0,13,6,11,0,9,15,12,8,6,17,17,4,18,16,16,15,19,9,9,16,10,2,18,1,8,10,3,10,3,0,5,4,16,3,8,16,2,3,13,15,15,11,1,2,5,1,6,13,3,8,10,5,12,1,10,17,7,5,9,6,8,14,10,7,4,12,13,19,4,11,11,18,12,1,8,11,3,2,2,0,0,9,8,10,18,0,18,2,0,12,19,2,12,2,0,11,2,12,7,10,1,0,2,6,14,19,9,0,9,4,5,17,9,4,14,5,6,12,16,3,13,12,1,8,5,18,11,19,1,13,17,7,13,15,2,0,9,17,0,13,3,3,16,0,6,18,10,16,19,15,6,15,4,10,18,17,7,15,13,16,7,4]"
ta22,1243,"[3,0,0,3,3,1,1,0,2,2,1,1,0,0,0,3,3,3,2,2]","[11,13,16,6,14,12,7,7,12,12,19,5,5,10,18,5,17,11,12,10,18,0,15,12,13,12,12,12,8,14,9,17,19,17,7,1,17,2,13,6,8,3,5,4,3,4,16,0,0,14,16,6,9,8,1,4,5,9,7,6,18,7,6,9,2,9,1,15,4,17,5,4,0,18,13,1,2,12,9,1,7,14,16,11,0,16,15,8,2,19,5,17,2,8,11,6,19,2,7,19,5,5,9,16,5,16,9,3,11,8,16,0,0,16,2,3,0,13,15,2,15,16,16,6,19,4,9,15,19,9,8,19,18,2,16,6,3,3,6,16,4,19,8,8,5,15,15,14,11,12,18,4,3,18,10,12,2,3,6,6,13,12,1,10,9,1,0,6,17,18,15,4,3,12,15,10,12,11,15,16,18,8,4,8,3,13,7,0,11,11,13,10,13,5,13,18,0,1,14,8,0,14,11,10,15,19,7,10,4,14,7,1,14,12,14,16,9,8,19,10,8,5,9,1,10,7,4,11,11,6,19,18,1,11,8,15,7,10,10,12,1,1,3,7,13,6,4,7,8,17,6,10,0,14,4,5,13,3,0,4,17,17,17,5,17,4,17,13,13,11,2,0,18,11,11,0,12,17,14,9,13,3,18,7,17,14,14,8,7,9,17,17,16,16,11,3,19,14,12,10,0,6,13,8,15,1,3,15,19,14,18,9,17,11,14,13,4,15,2,3,7,1,2,10,15,3,10,6,6,4,2,19,9,17,8,2,14,13,10,1,12,13,8,15,14,19,0,18,5,10,9,2,2,9,1,1,4,10,7,16,19,19,18,9,12,16,6,7,3,11,0,5,10,16,17,3,5,18,6,0,2,4,1,5,3,2,19,18,18,1,5,18,2,19,13,15,7,14,11,15]"
