instance,makespan,FA,OS
ta01,1015,"[1,0,0,0,0,1,0,1,1,0,1,1,1,0,0]","[3,1,0,0,5,11,12,6,11,6,12,13,7,4,3,9,8,7,6,11,9,12,10,8,7,4,11,10,9,7,5,9,5,0,0,2,2,13,5,1,6,4,13,8,5,2,11,8,12,14,4,7,7,0,11,1,12,5,2,10,12,1,9,12,3,13,14,13,14,10,0,4,14,8,11,13,7,4,2,2,12,2,13,10,0,1,8,7,14,5,13,6,5,3,6,4,10,3,9,11,8,4,8,8,0,14,7,12,12,4,2,5,0,9,4,10,1,4,10,1,3,5,0,5,14,1,9,6,8,6,1,10,0,12,12,2,4,10,3,6,7,9,6,14,3,2,4,9,11,10,8,9,9,13,6,1,12,13,14,3,1,2,14,8,5,1,11,2,13,7,2,7,14,7,9,0,11,3,13,11,6,14,2,10,11,0,7,10,14,2,1,10,10,8,6,13,4,5,5,6,8,5,14,4,3,6,1,11,13,3,14,11,9,9,0,8,12,7,0,13,3,3,1,12,3]"
ta02,1014,"[1,0,0,1,0,0,0,1,1,1,1,1,1,1,0]","[6,11,1,5,2,9,10,2,7,5,11,3,5,6,7,14,3,5,0,1,9,6,14,0,3,8,11,13,5,3,12,12,13,4,14,9,2,10,12,13,8,2,9,5,13,7,12,10,6,13,1,7,0,9,5,0,6,10,0,3,0,6,13,4,9,2,11,4,2,11,10,7,13,6,7,12,13,14,8,4,9,14,0,7,1,0,11,4,1,5,10,12,4,8,11,14,0,8,6,14,3,14,2,2,5,11,3,14,10,2,0,0,1,11,9,4,13,10,8,14,1,12,5,5,9,12,1,1,13,4,2,7,12,6,8,13,0,12,11,4,2,6,12,7,8,13,2,0,4,8,3,9,12,7,3,7,8,8,6,3,0,5,1,10,2,4,5,5,5,10,1,11,7,11,1,7,4,11,3,6,9,10,2,2,10,4,13,8,4,14,6,7,12,9,14,13,10,9,6,1,10,11,3,8,14,1,14,10,8,8,13,9,3,6,3,12,0,7,1,11,14,4,12,3,9]"
ta03,1045,"[1,1,0,1,1,1,1,0,1,0,0,0,0,1,0]","[4,2,14,11,13,6,4,4,10,2,4,14,12,13,2,3,4,11,8,7,4,6,2,10,10,13,1,3,6,11,3,7,5,8,5,9,5,8,11,2,12,6,8,5,13,12,0,11,13,6,0,14,4,0,10,3,0,9,5,1,12,0,14,7,4,14,13,8,11,1,11,9,3,6,2,14,10,14,9,8,7,9,9,4,4,0,7,0,3,10,14,6,10,6,1,7,9,13,4,14,10,13,1,0,10,11,5,12,2,14,1,9,12,4,8,11,5,12,6,3,3,6,9,3,8,9,7,4,12,0,12,1,2,2,1,7,9,6,12,5,14,5,0,3,9,10,11,6,5,0,7,14,3,13,13,7,7,13,10,13,5,10,1,7,12,13,12,3,9,12,12,8,1,11,8,0,13,8,11,0,9,0,10,14,5,10,5,2,2,7,2,4,6,4,1,1,1,0,6,14,7,3,5,14,8,2,11,10,8,1,8,6,11,7,9,5,13,12,2,3,8,1,11,3,2]"
ta04,1027,"[1,1,1,0,1,1,0,1,0,0,0,1,0,0,0]","[5,5,14,13,6,13,12,7,5,0,1,14,10,14,7,8,3,12,9,14,9,0,3,0,12,10,8,8,7,0,0,3,3,2,6,9,3,0,0,7,1,3,2,9,11,1,6,5,4,12,6,0,8,1,9,2,14,4,5,9,7,11,11,3,13,11,12,7,8,13,14,2,8,12,6,14,4,11,8,6,5,10,5,0,6,1,9,3,14,4,9,2,9,4,3,7,8,1,0,9,1,3,1,10,8,6,4,10,13,5,11,13,11,1,6,12,13,10,5,2,12,10,9,11,7,4,5,0,7,3,13,11,10,3,12,7,7,1,6,9,7,9,4,8,10,2,11,0,10,10,2,12,2,9,1,11,1,13,8,10,3,13,10,5,8,7,2,12,7,11,4,6,5,3,13,1,9,14,4,2,8,13,6,8,2,12,4,4,14,1,2,5,14,4,12,10,2,11,11,14,10,14,7,13,6,5,4,1,13,5,14,14,8,11,4,13,12,2,6,12,0,3,6,0,0]"
ta05,1051,"[1,0,1,0,1,0,0,1,0,0,1,0,1,0,1]","[8,3,0,10,2,3,8,7,0,6,2,10,5,1,3,10,9,5,13,8,10,11,7,3,1,9,3,11,14,4,11,11,1,7,1,12,3,11,8,3,13,4,7,8,10,0,7,3,9,3,14,10,12,4,12,0,13,7,0,1,10,2,7,5,5,12,9,14,0,13,5,14,6,9,5,2,14,5,13,14,5,7,6,6,5,12,0,1,14,8,10,2,13,6,1,8,13,3,13,4,8,11,8,10,4,9,9,7,4,6,2,8,9,1,12,1,7,4,10,10,3,2,0,14,7,4,8,13,5,9,9,1,11,6,13,2,0,10,5,12,8,2,12,6,2,11,12,2,4,6,14,3,0,6,2,1,2,10,14,13,9,7,1,1,6,4,6,9,6,14,4,0,14,5,12,7,12,6,9,13,3,12,12,10,4,11,8,11,7,11,0,4,13,10,1,0,4,9,13,14,11,2,9,11,7,0,5,12,13,8,1,4,6,11,3,5,8,3,12,14,11,5,2,14,0]"
ta06,1037,"[0,0,1,1,1,0,0,0,1,0,1,0,1,1,1]","[12,7,7,4,12,10,7,13,13,13,9,0,5,2,1,10,12,13,3,13,7,6,8,8,10,0,2,6,8,4,1,9,7,6,1,12,1,6,6,10,0,2,2,14,2,13,2,5,5,6,3,10,14,12,1,11,12,6,8,2,4,4,0,13,8,1,8,9,13,11,11,8,5,14,6,10,8,5,9,1,11,9,1,4,11,6,13,3,10,7,6,8,3,11,4,14,10,14,3,2,12,7,13,1,9,14,9,1,12,4,0,5,14,9,12,14,5,5,4,7,4,10,10,2,9,11,12,3,3,10,0,10,0,12,11,11,0,0,4,8,14,7,11,3,2,6,3,5,7,2,8,0,5,14,9,2,11,5,8,12,9,5,7,4,10,9,4,0,8,7,2,10,11,14,14,13,1,8,6,3,9,12,7,1,14,2,11,1,6,0,5,11,0,1,3,14,3,13,9,3,0,4,0,11,7,6,13,2,5,4,10,6,1,7,3,13,12,12,4,13,9,3,5,14,8]"
ta07,1050,"[1,1,0,0,0,0,0,0,1,1,1,0,0,1,1]","[3,13,14,0,9,2,14,4,2,1,4,3,13,11,2,11,4,7,1,7,6,5,7,2,0,13,10,9,5,10,0,7,7,5,2,8,1,1,14,2,12,8,0,1,4,2,8,9,6,5,12,3,8,5,14,11,14,7,10,14,0,6,12,1,13,11,6,6,8,7,1,8,9,12,4,0,10,11,11,8,0,11,12,11,4,0,6,11,9,9,13,9,9,8,7,4,9,2,13,13,3,9,4,1,10,4,11,10,11,6,7,3,3,8,12,3,10,6,7,7,7,10,2,9,6,10,12,5,5,4,14,11,13,4,5,12,3,0,14,10,3,3,7,12,6,6,12,14,0,6,3,0,13,1,13,7,4,11,9,0,14,14,4,10,12,3,8,5,6,2,12,11,12,12,13,6,5,3,5,2,1,11,6,7,8,14,1,13,14,5,5,5,13,8,10,3,2,2,8,10,13,1,4,9,3,1,0,4,1,14,2,0,2,10,8,14,10,9,0,8,9,13,12,5,1]"
ta08,1060,"[1,1,1,1,0,0,1,0,0,0,1,0,0,0,1]","[12,14,1,6,13,2,3,1,4,1,2,14,11,7,0,2,9,9,8,7,11,8,2,0,11,5,6,9,14,1,13,4,4,4,3,11,2,6,2,8,5,12,3,6,9,5,13,14,5,12,13,4,3,8,4,13,7,3,14,9,10,8,1,12,7,0,8,12,0,7,10,3,6,0,10,10,1,5,10,11,4,8,0,5,7,14,0,6,12,9,3,4,1,14,0,13,4,13,8,5,12,9,5,9,3,7,10,2,14,9,13,4,4,10,6,12,1,10,11,0,9,5,1,8,11,10,5,3,0,14,0,8,6,12,6,7,0,12,2,14,8,6,11,11,2,11,13,7,13,2,8,5,3,4,4,2,5,12,1,10,5,8,3,3,3,2,10,5,4,7,14,7,2,9,14,13,6,12,1,0,11,2,11,4,12,14,10,10,1,6,1,9,6,7,7,14,2,10,0,9,1,11,11,8,13,3,0,9,13,10,7,6,14,12,1,11,13,12,9,6,13,3,7,5,8]"
ta09,1085,"[0,1,0,0,0,0,0,1,1,1,0,0,1,1,1]","[12,0,11,0,1,7,8,12,14,9,10,1,5,2,4,11,11,1,0,11,7,7,4,10,2,8,8,9,3,9,9,1,11,9,6,14,12,11,9,11,0,0,12,4,5,13,3,3,13,7,13,2,12,2,10,7,5,14,8,0,5,14,14,11,0,0,13,1,3,7,8,12,4,12,10,9,6,4,13,11,6,7,9,2,10,1,10,9,3,5,11,1,12,6,9,13,1,3,12,4,13,7,8,10,6,10,5,5,11,4,10,13,0,7,7,3,12,10,6,2,12,2,14,1,9,13,11,1,9,7,6,3,8,14,6,13,0,8,14,0,14,14,8,4,5,3,4,3,6,7,2,1,8,14,3,3,9,1,14,0,1,4,5,12,13,8,5,9,6,10,14,13,13,7,1,13,2,12,11,8,2,10,8,4,4,3,10,8,12,14,5,3,0,7,8,6,1,13,0,2,11,2,11,5,14,4,2,5,5,4,4,7,3,6,12,6,10,6,9,2,5,0,10,2,6]"
ta10,1063,"[1,0,0,0,1,1,0,1,0,1,0,1,0,1,0]","[10,0,4,9,4,2,10,2,0,8,5,13,0,9,12,14,12,4,1,13,13,3,1,14,0,14,12,3,7,14,9,1,14,4,2,7,12,4,1,12,6,1,5,4,7,6,9,10,2,10,1,13,11,4,9,2,11,12,6,3,2,7,7,5,10,14,3,5,0,0,6,3,8,3,2,9,0,8,7,0,3,8,6,0,6,12,9,9,6,13,10,3,5,14,10,1,12,3,7,9,3,9,8,2,4,12,5,1,11,8,14,12,1,11,0,5,4,2,12,7,14,10,11,10,8,10,13,1,1,4,14,14,11,2,13,9,13,0,13,0,2,7,4,11,3,0,6,6,8,9,6,4,1,5,4,6,10,12,1,2,5,11,3,10,8,8,14,8,8,6,2,9,14,0,1,12,5,7,13,4,5,10,6,11,14,11,5,11,7,11,9,12,13,3,2,13,3,1,5,13,7,5,10,7,13,7,2,8,6,6,8,4,12,8,3,11,5,9,14,11,13,0,11,7,10]"
