instance,makespan,FA,OS
ta11,949,"[3,1,2,0,1,1,1,0,2,2,2,0,3,3,0,3,1,3,1,3]","[3,13,17,14,7,11,10,14,4,6,13,6,18,16,17,3,5,14,9,5,8,11,14,7,18,16,4,19,11,1,3,12,5,5,10,13,12,10,14,19,17,15,15,11,14,6,15,8,19,5,2,6,12,18,13,16,15,18,14,2,13,2,9,8,14,16,18,11,4,1,15,15,3,3,3,15,19,15,0,4,17,10,2,13,12,6,9,6,1,16,8,15,8,0,11,7,2,12,6,17,7,4,1,8,7,10,14,0,15,0,19,1,7,11,10,18,13,5,6,1,9,1,17,11,7,7,7,10,18,8,16,7,0,14,9,3,4,4,11,10,15,14,4,19,2,16,18,19,2,4,19,8,9,13,17,18,16,0,6,13,0,0,8,3,8,11,6,6,16,14,17,12,7,5,12,12,9,1,12,3,10,13,16,5,5,10,11,14,3,1,1,16,10,12,13,19,12,0,3,17,16,4,16,16,7,2,11,3,8,5,12,5,14,3,4,2,0,18,11,2,17,10,2,4,18,9,10,15,6,9,2,12,4,13,15,17,18,16,10,1,1,19,13,11,6,19,5,8,0,19,9,3,6,18,0,8,9,19,3,7,18,0,7,10,4,17,5,13,7,14,5,1,13,0,9,1,8,18,6,12,19,5,9,2,12,1,8,9,15,2,15,17,11,17,2,17,0,4,9,19]"
ta12,1012,"[1,1,0,3,2,0,1,3,3,3,0,2,2,2,3,2,1,1,1,2]","[4,4,17,0,16,18,6,4,17,3,5,1,5,9,18,11,14,6,11,9,19,2,11,0,14,16,7,7,7,9,0,18,2,6,16,10,4,1,6,7,18,15,6,3,8,13,1,17,12,10,2,11,1,2,8,5,17,3,3,12,15,10,7,16,8,15,1,19,14,9,17,18,15,10,4,15,17,6,9,12,3,13,1,11,10,15,4,18,8,6,7,7,0,2,9,19,16,8,13,0,19,11,0,9,11,16,15,0,9,17,5,8,3,14,6,15,14,14,6,13,1,10,18,2,1,0,18,1,5,5,12,11,13,3,12,8,19,17,12,13,1,8,13,15,17,19,5,10,13,14,14,4,3,2,5,4,0,13,8,15,12,12,5,9,17,4,3,5,18,7,11,19,18,8,1,15,4,14,14,7,17,14,7,14,11,2,11,8,16,10,16,18,7,19,9,13,11,17,6,7,13,10,19,17,3,5,16,9,12,16,13,0,1,12,19,18,15,2,19,9,15,3,13,6,2,11,1,19,6,8,8,12,10,16,4,12,0,3,14,1,16,6,5,4,2,15,19,4,14,9,16,14,17,19,13,18,3,8,9,7,16,11,9,6,4,10,4,3,0,11,17,18,10,19,6,8,0,2,1,0,7,12,5,18,5,2,13,2,16,10,0,5,7,10,12,2,10,12,3,15]"
ta13,919,"[1,1,1,0,3,0,2,3,2,2,3,1,0,1,3,0,0,3,1,0]","[0,15,15,17,18,14,10,4,9,13,5,8,0,14,17,19,0,12,17,5,10,5,12,11,10,13,15,2,10,3,11,14,0,0,0,5,1,9,2,12,16,6,14,11,9,2,8,16,13,11,2,5,10,11,16,14,16,3,19,11,12,4,13,7,14,1,1,5,7,19,5,5,5,6,13,12,1,12,16,16,2,1,3,6,4,19,0,5,7,1,1,9,5,18,6,4,9,18,6,4,6,12,17,7,11,4,7,15,7,15,16,0,12,11,16,9,8,13,8,9,3,2,19,7,16,1,4,13,2,4,8,4,9,3,18,4,13,17,10,18,18,8,6,13,1,19,15,15,6,18,14,19,14,17,11,3,2,5,4,17,18,15,8,16,0,17,4,1,8,13,2,7,3,10,9,3,9,2,5,16,18,0,14,5,2,14,4,1,8,9,18,8,15,19,9,2,12,14,10,0,17,7,3,7,9,7,17,4,15,10,8,18,7,17,15,10,6,18,19,19,3,12,10,15,3,19,13,6,11,10,19,12,8,11,9,7,12,0,1,10,6,15,6,9,16,3,0,0,14,18,3,8,18,6,14,18,19,15,17,13,8,2,14,17,6,10,19,1,12,13,3,14,0,10,12,11,2,13,7,16,17,19,11,12,16,13,3,4,1,1,15,11,7,6,11,16,2,8,17,5]"
ta14,990,"[2,0,3,2,3,0,1,2,0,1,3,3,0,0,2,0,1,2,3,2]","[16,14,14,6,2,15,14,1,15,16,4,11,15,6,11,7,8,7,9,3,10,1,9,4,19,4,13,7,16,16,7,8,2,0,7,19,4,4,18,7,7,19,9,10,3,6,17,3,1,1,2,19,17,16,1,10,12,14,13,0,17,4,8,13,8,10,9,7,1,0,9,19,0,4,2,3,19,10,17,4,13,12,11,1,13,14,6,14,12,12,18,15,6,14,10,6,17,7,11,5,11,4,19,8,18,18,12,18,5,11,14,1,13,8,15,14,17,0,5,6,17,10,2,14,8,15,6,0,16,10,1,9,17,5,16,4,4,10,16,1,8,13,17,3,10,2,2,6,13,12,16,5,6,2,19,17,19,9,18,11,18,15,13,18,5,3,9,8,2,12,18,10,0,3,10,16,0,11,6,17,5,15,15,16,6,18,9,14,7,3,12,7,2,16,2,15,19,4,5,5,17,7,17,0,6,16,18,11,8,1,4,2,19,12,17,14,3,0,14,10,12,7,8,17,15,6,15,19,2,12,0,13,9,2,13,11,1,5,3,19,11,13,18,12,0,10,5,4,13,9,9,14,9,3,3,5,15,11,6,0,4,16,19,15,15,12,11,12,3,9,3,8,8,18,5,10,13,5,1,2,16,0,11,0,13,8,14,1,8,1,11,7,12,9,18,18,3,19,5,7]"
ta15,930,"[2,0,2,3,3,3,0,1,3,3,2,1,2,0,1,3,0,0,0,0]","[4,11,17,3,1,14,11,6,3,0,19,13,5,10,0,12,10,15,2,5,14,4,10,13,8,3,2,14,4,17,13,2,19,10,14,1,5,9,6,0,9,16,7,9,15,17,4,5,12,15,1,18,15,14,12,0,17,4,14,7,16,7,16,11,16,3,19,6,5,18,17,6,9,1,17,11,19,18,8,13,17,14,8,16,8,9,13,2,8,8,17,3,12,13,2,7,18,14,7,18,16,6,7,11,3,9,1,8,11,6,14,16,18,13,2,7,0,2,4,19,7,5,10,6,7,16,8,13,6,14,17,10,13,6,8,10,5,8,19,11,5,7,16,13,5,12,15,8,3,4,11,12,1,9,19,4,3,0,2,19,1,16,3,18,9,1,3,13,17,2,11,10,4,6,8,15,15,10,12,17,2,19,13,9,0,10,2,12,0,8,5,13,18,10,0,18,13,12,15,11,16,1,3,15,10,18,18,19,16,19,0,1,15,12,7,10,3,4,5,2,7,8,6,16,17,15,13,4,3,0,1,14,14,11,14,15,16,5,4,2,15,9,9,4,7,12,3,11,19,17,15,10,11,17,14,12,0,18,1,11,6,19,19,1,1,10,6,18,9,5,12,1,12,7,5,18,18,5,0,14,9,15,16,8,6,2,17,0,9,4,0,19,12,3,11,2,6,4,7,9]"
ta16,976,"[0,2,1,0,3,0,1,3,1,3,3,2,1,2,1,2,3,3,0,2]","[0,11,3,5,12,7,1,6,4,7,4,11,1,6,13,13,0,8,2,10,6,14,16,11,19,2,6,16,18,15,13,5,13,6,5,13,17,12,9,15,11,7,19,17,0,1,12,12,8,0,2,18,8,1,9,4,16,18,18,2,5,1,4,2,13,14,12,7,8,19,8,8,17,15,7,3,14,17,0,18,6,10,6,4,12,10,10,19,15,19,15,11,5,1,9,9,0,8,14,3,9,3,5,11,6,5,18,9,10,6,16,8,1,2,18,12,17,17,17,6,2,15,4,15,12,17,19,9,9,0,6,17,7,14,3,10,18,17,2,11,7,9,10,15,11,3,14,5,7,4,19,10,13,0,2,18,13,1,2,14,16,5,5,11,3,7,2,15,5,16,13,14,15,1,15,4,3,18,4,1,19,8,12,4,19,10,3,13,8,19,13,8,16,14,5,19,7,16,0,15,8,5,7,17,19,10,11,7,11,6,14,16,19,12,13,5,14,5,16,9,12,16,3,14,11,1,6,4,0,2,17,14,11,0,16,14,17,2,7,15,13,7,2,1,3,8,2,13,8,4,10,4,10,4,9,9,18,10,8,6,9,17,3,11,16,18,14,1,18,16,13,3,9,1,4,12,0,0,0,15,12,7,16,12,3,1,19,12,10,19,11,6,9,17,10,3,18,15,18,0]"
ta17,987,"[1,3,1,1,0,2,3,0,2,1,3,0,0,1,2,0,3,2,2,0]","[6,13,10,19,6,7,7,4,1,1,9,5,9,5,8,10,8,8,13,2,18,11,4,17,8,4,8,18,9,0,14,19,17,13,8,11,1,15,5,16,8,6,2,18,7,3,16,10,15,1,14,7,12,18,3,17,17,10,9,16,12,15,2,15,2,9,4,14,15,4,1,19,18,3,10,9,0,13,19,0,7,18,18,2,14,4,4,9,6,17,6,15,0,0,14,19,13,1,12,3,7,14,0,2,10,1,9,6,4,15,17,19,4,18,5,10,16,8,8,11,16,3,15,18,11,9,11,2,10,19,4,6,12,11,14,11,14,5,16,0,12,19,11,14,10,9,13,13,15,7,11,7,19,12,3,0,5,0,9,0,16,8,16,5,2,0,8,13,1,7,3,5,16,12,1,19,6,16,3,0,12,12,19,18,3,5,17,13,8,13,2,2,12,13,5,9,0,2,17,14,9,6,14,15,13,11,8,3,5,16,5,11,17,7,5,2,6,7,17,0,13,14,10,13,15,18,4,12,18,12,10,11,6,9,16,3,1,15,15,11,19,12,2,15,8,8,19,10,14,14,2,4,6,17,7,12,7,3,6,5,13,3,7,11,5,17,19,0,6,1,2,1,7,9,17,1,1,4,4,11,18,1,10,4,16,18,17,17,10,3,19,18,16,12,3,15,14,16,10,6]"
ta18,937,"[0,0,2,3,1,3,2,0,1,2,0,1,1,1,2,1,0,3,3,1]","[11,8,10,2,18,11,7,17,8,8,12,13,19,16,15,13,8,14,11,1,9,15,14,19,11,14,2,18,19,14,3,1,11,1,5,4,19,15,9,7,11,12,7,5,12,1,14,16,18,3,19,17,1,19,5,15,4,2,15,4,13,15,17,13,2,6,17,19,0,17,8,3,0,3,4,9,6,5,13,6,18,13,17,16,12,1,2,14,12,14,9,1,10,19,12,10,13,12,18,8,10,0,11,16,2,6,17,0,0,13,4,1,9,7,5,14,16,0,13,17,5,18,18,6,18,9,16,8,9,3,6,15,7,1,7,6,0,8,3,10,7,1,4,16,18,11,19,9,6,17,13,7,4,15,12,1,8,10,14,6,7,2,3,9,11,15,16,10,2,5,19,9,19,5,8,6,14,11,3,5,1,0,4,18,12,14,13,8,3,5,14,18,13,1,11,15,2,0,5,9,3,15,18,17,9,19,12,10,18,3,13,10,2,6,7,4,1,7,4,11,11,10,0,0,14,2,5,5,15,6,4,3,7,7,6,12,8,3,16,15,16,16,9,12,9,13,3,17,4,12,6,3,19,17,0,13,2,18,4,10,18,11,5,14,5,7,15,19,10,14,17,4,0,1,8,8,12,2,2,8,10,4,10,10,9,0,17,16,17,2,0,12,16,16,15,11,16,6,7,19]"
ta19,930,"[1,2,2,3,2,3,1,2,0,1,3,0,3,3,0,0,0,2,1,2]","[10,11,9,9,5,13,19,5,17,2,13,11,1,15,4,14,15,13,2,7,8,15,4,11,7,16,0,0,7,2,10,8,19,14,7,11,17,11,12,15,3,16,6,0,6,6,14,4,10,12,3,1,15,11,3,12,16,9,4,7,0,16,7,3,12,6,7,5,14,6,18,2,13,12,0,14,5,10,15,16,5,12,12,3,14,8,0,19,18,18,13,5,12,7,15,15,1,13,0,4,0,4,1,17,8,18,2,2,9,10,14,19,9,14,7,14,10,16,8,10,17,18,0,17,2,5,13,6,1,18,8,17,17,6,19,4,19,1,13,9,4,5,3,10,13,0,16,2,18,15,15,4,12,2,6,18,5,6,8,12,12,11,10,3,1,9,3,8,3,7,2,3,13,19,4,16,17,10,17,9,11,1,18,15,18,8,14,16,9,19,7,6,16,19,8,2,17,12,11,4,19,18,0,17,11,1,2,13,11,8,16,0,6,9,11,9,1,4,4,2,1,17,8,19,7,12,13,5,19,6,3,12,18,1,16,11,3,3,14,6,17,1,1,10,16,19,5,8,5,0,10,14,9,10,15,3,18,6,9,13,15,9,0,5,19,4,5,10,9,2,18,16,4,7,13,5,14,17,16,1,15,11,14,13,19,17,10,2,0,15,12,7,8,14,18,6,8,11,3,7]"
ta20,974,"[2,3,0,1,0,1,2,0,3,0,1,3,2,3,0,3,1,2,0,1]","[15,19,14,16,10,7,15,18,7,8,13,11,9,19,0,0,4,18,2,1,18,1,5,3,17,6,2,9,16,12,8,5,9,8,12,16,17,0,16,13,19,18,2,13,7,8,2,2,13,10,13,4,10,4,8,14,11,6,1,1,11,18,6,9,4,14,17,19,3,2,14,0,3,14,3,18,14,18,3,16,7,1,6,6,13,16,2,19,10,0,6,19,17,3,10,16,4,4,10,12,1,12,17,4,2,11,0,3,9,4,5,11,12,8,1,6,15,9,11,1,1,17,2,14,8,17,10,9,3,11,6,0,12,13,16,15,13,16,2,4,16,12,9,8,10,14,15,14,6,16,13,5,7,9,14,17,19,5,7,0,8,13,7,9,8,3,14,16,14,1,5,18,0,7,17,3,8,1,3,11,2,19,6,13,15,9,19,17,5,14,7,0,11,9,19,8,3,4,4,14,10,5,10,6,5,11,1,19,2,7,12,5,14,19,12,15,1,4,2,9,17,6,5,18,18,5,17,6,18,10,17,11,12,8,0,19,18,11,7,16,1,16,7,16,10,15,0,5,11,19,3,15,15,7,4,2,15,5,0,15,10,6,3,9,13,18,9,10,2,15,5,0,18,0,12,7,4,12,17,17,11,8,6,12,12,15,13,15,11,19,3,10,13,12,13,4,1,8,18,7]"
