instance,makespan,FA,OS
ta01,963,"[0,1,2,1,2,1,2,0,0,0,2,0,0,0,2]","[6,1,14,3,6,13,14,11,10,10,10,9,2,11,12,3,5,4,12,7,4,10,1,2,3,2,7,0,7,14,1,8,1,13,0,6,11,4,11,8,8,12,9,14,11,1,6,8,12,4,8,2,12,1,8,12,12,9,13,4,4,9,13,0,9,5,3,7,6,9,14,6,0,14,3,11,7,6,10,5,3,8,7,13,5,9,9,11,3,13,10,2,8,4,13,0,0,9,2,10,14,12,11,8,6,12,7,4,5,2,5,1,13,7,11,8,2,14,6,5,5,4,12,13,14,1,5,2,0,11,10,0,1,0,14,10,2,11,3,4,8,5,6,1,12,7,1,11,2,7,10,14,1,2,11,2,0,3,3,14,9,0,10,3,0,7,13,11,7,12,4,1,12,13,8,10,9,9,6,2,6,0,8,14,9,6,4,0,6,6,13,1,3,9,8,5,3,10,13,8,10,13,7,14,0,12,12,5,3,7,4,5,4,2,3,11,14,1,4,5,10,7,13,5,9]"
ta02,961,"[0,0,1,0,1,2,2,0,2,2,2,0,0,1,1]","[9,3,11,2,10,2,7,3,2,7,14,10,8,11,6,2,3,10,9,1,8,11,11,5,4,11,7,0,6,5,2,6,12,14,12,6,9,9,0,0,0,13,0,11,1,5,7,2,10,0,6,3,1,9,5,3,2,14,10,3,7,10,13,11,1,4,11,5,7,7,0,12,10,1,13,6,9,14,8,6,2,10,12,3,4,6,5,12,12,3,12,8,8,13,14,14,2,12,12,13,6,8,7,2,8,8,13,14,5,13,13,4,1,9,1,6,13,9,8,9,9,7,4,4,4,7,12,4,6,2,13,11,4,2,3,1,1,0,10,4,11,5,0,6,5,3,5,11,11,4,1,8,0,12,13,13,5,3,9,6,3,5,4,13,1,7,14,0,8,7,0,10,0,2,10,0,12,6,6,9,7,4,14,14,2,12,8,14,7,9,8,14,13,7,12,5,11,4,10,4,11,3,14,9,14,12,1,2,14,5,3,11,8,1,10,13,8,0,3,10,1,10,9,1,5]"
ta03,963,"[0,2,2,0,1,1,0,0,0,1,0,2,0,2,1]","[10,13,6,10,0,8,0,5,10,12,14,2,13,5,14,12,7,14,14,13,5,10,5,3,4,8,2,7,0,2,13,11,9,4,4,4,2,12,10,1,13,3,13,7,2,6,14,14,1,13,5,9,13,5,6,0,7,11,7,11,9,10,8,4,7,6,2,1,9,2,11,8,2,6,14,7,12,5,13,3,2,6,11,4,2,8,10,11,9,14,7,6,8,9,12,12,0,9,13,12,0,12,5,4,9,13,6,11,11,14,7,6,7,3,6,6,7,10,1,13,9,3,8,0,10,5,3,14,2,3,5,14,0,6,0,7,5,1,0,14,1,0,8,13,1,12,5,2,9,12,5,8,2,9,5,11,14,8,0,9,1,1,2,8,11,11,1,3,12,3,14,10,12,9,7,4,12,4,12,8,2,7,3,1,9,11,3,10,10,12,8,6,10,5,10,4,3,0,13,4,1,8,3,6,1,11,3,11,1,0,7,11,9,4,13,4,3,1,8,14,4,10,6,4,0]"
ta04,950,"[2,1,2,0,2,1,1,1,2,2,0,0,2,2,2]","[13,1,4,4,3,5,14,5,7,13,0,6,1,14,7,12,13,5,9,9,14,9,8,11,8,6,10,0,2,3,4,11,14,8,6,4,12,11,8,13,11,14,0,11,0,1,9,1,12,7,10,14,3,7,10,4,2,6,8,11,7,11,1,0,9,1,12,8,2,4,14,1,8,0,11,10,9,0,0,7,12,2,14,0,2,12,4,9,10,13,8,1,6,13,12,5,12,10,1,3,2,13,2,7,3,9,13,9,11,11,3,0,14,3,2,13,0,3,6,3,9,6,13,1,8,7,0,7,8,6,4,6,13,14,6,12,2,7,10,12,5,1,3,7,7,8,8,7,6,5,10,0,11,2,8,9,5,9,10,14,9,10,14,8,10,3,4,3,6,2,1,9,5,4,3,0,13,5,12,11,10,14,6,11,11,12,5,2,14,1,4,5,13,12,10,4,5,14,6,2,13,9,13,5,3,10,3,10,5,2,11,8,2,7,4,7,1,12,6,1,12,4,4,5,0]"
ta05,940,"[2,0,0,0,1,1,1,0,0,0,1,2,2,1,2]","[4,5,0,5,14,3,6,10,11,6,2,0,14,5,5,10,8,7,10,3,12,11,13,2,6,6,12,0,10,7,8,14,8,13,8,1,7,2,7,7,14,13,1,11,8,9,14,10,6,10,9,12,13,1,12,5,3,0,4,11,6,8,8,11,5,10,2,12,13,5,3,2,1,6,6,12,13,4,12,6,3,1,5,3,12,14,9,4,8,5,6,7,10,1,12,3,9,12,9,14,2,1,1,1,4,0,12,7,12,11,10,5,3,4,7,9,0,11,7,10,0,13,5,12,6,13,3,13,3,9,14,9,11,1,9,4,7,4,1,0,3,2,14,2,11,8,4,1,1,3,2,13,0,2,13,0,6,4,12,3,6,1,14,7,13,14,8,13,11,13,0,3,9,10,9,10,6,2,7,2,8,6,8,13,5,4,5,11,3,4,10,14,9,11,5,0,12,9,11,8,4,10,8,11,0,10,9,4,14,2,7,2,4,5,14,0,11,7,8,14,1,2,0,7,9]"
ta06,942,"[0,0,2,1,0,2,2,0,2,1,1,1,1,1,0]","[13,5,7,7,8,1,12,11,0,10,3,8,13,14,3,13,14,8,10,12,6,8,11,11,5,3,0,4,9,2,4,10,2,2,13,14,10,12,12,4,3,10,0,7,6,4,9,2,10,11,13,5,2,1,10,6,4,7,0,5,14,4,11,9,2,2,10,12,11,1,12,12,11,7,14,5,3,13,7,1,0,7,7,7,3,6,12,14,14,1,13,1,8,6,1,13,4,2,8,8,14,8,12,10,3,6,7,13,4,8,0,0,9,4,11,7,3,9,6,4,1,14,12,2,5,8,8,14,9,10,1,1,12,3,12,5,9,11,13,0,12,4,7,6,13,11,0,10,3,4,11,5,0,13,10,13,13,14,2,5,0,9,9,1,9,7,2,6,10,9,3,9,3,0,10,14,5,10,9,4,11,3,6,6,5,5,2,14,8,8,9,5,7,11,13,5,6,1,4,11,11,6,0,0,2,8,7,1,4,12,1,6,3,8,0,2,12,9,14,2,1,3,14,5,6]"
ta07,956,"[1,0,1,0,2,1,2,2,0,0,0,2,1,2,1]","[1,2,3,7,4,2,4,7,5,11,6,4,6,13,14,0,3,4,12,0,11,5,8,9,8,12,9,11,10,10,6,14,8,7,3,0,9,3,0,3,14,4,10,2,13,14,8,11,13,0,14,8,12,14,7,6,12,9,6,9,12,11,2,8,7,10,7,2,14,9,6,13,7,5,4,13,12,12,5,11,7,4,11,10,7,4,7,6,2,4,2,2,0,3,10,4,0,3,13,1,6,3,0,10,11,7,12,6,9,1,2,8,10,0,2,0,5,8,6,7,11,4,9,1,8,9,8,14,13,11,7,10,12,1,3,9,8,5,10,5,9,11,1,1,14,13,1,10,12,5,12,1,1,13,0,7,10,1,0,6,6,14,3,2,14,13,13,2,9,9,0,14,3,14,11,12,12,3,6,5,0,4,8,13,9,9,5,1,14,6,4,7,5,11,12,5,6,11,10,10,13,5,8,14,5,2,2,8,12,5,1,4,8,0,3,10,13,2,3,11,13,4,3,1,1]"
ta08,963,"[2,1,1,2,0,0,2,0,1,0,1,0,1,2,2]","[11,3,8,0,7,7,0,14,11,0,13,9,0,12,5,1,9,0,9,1,5,5,9,12,14,7,1,2,13,3,5,13,11,5,7,3,14,5,6,2,0,4,7,11,2,1,12,10,3,0,9,10,10,8,1,14,8,10,3,0,4,2,11,12,2,13,6,2,3,12,1,12,8,7,4,8,9,11,4,6,13,14,4,3,5,6,0,6,14,6,14,10,14,4,5,3,1,1,9,4,2,8,13,4,2,11,13,3,10,11,7,9,0,7,14,4,11,9,5,10,13,11,12,5,7,9,9,7,5,14,6,5,13,0,8,7,13,7,13,3,7,1,13,6,1,10,4,6,6,8,3,12,9,0,6,11,2,0,1,7,8,14,8,14,13,8,0,4,9,2,0,5,11,6,12,13,8,5,12,2,4,3,3,8,6,7,11,4,12,1,10,2,9,14,12,10,2,9,11,10,1,3,1,11,13,8,4,2,1,4,10,5,6,6,12,8,14,14,3,10,12,12,2,10,10]"
ta09,993,"[1,1,2,1,1,2,2,2,2,0,0,0,1,2,1]","[6,11,4,12,12,12,1,5,7,10,4,1,5,8,3,10,3,12,7,2,0,9,7,3,7,3,2,13,5,13,3,9,2,0,10,4,6,3,6,2,8,3,14,9,4,13,2,2,6,14,12,9,11,6,10,11,6,5,12,12,0,7,9,2,3,1,1,7,6,3,10,1,3,5,1,0,10,5,8,12,2,0,10,6,0,14,0,13,10,12,0,11,8,4,1,5,14,10,10,5,13,14,1,8,9,3,3,4,8,8,5,0,4,13,1,1,13,6,7,9,4,1,11,6,7,0,4,8,0,13,6,11,13,11,10,3,14,14,4,7,1,0,0,12,11,9,7,9,14,8,10,12,1,13,3,13,13,8,13,9,5,11,10,4,13,1,8,10,12,2,6,11,12,8,14,2,7,10,4,4,4,14,2,14,2,8,9,1,9,14,8,11,2,6,14,4,5,2,3,11,5,6,9,8,13,0,5,5,14,11,7,12,7,11,7,5,9,9,0,7,2,14,11,12,6]"
ta10,944,"[0,2,1,0,2,2,1,0,1,1,0,2,0,2,1]","[6,14,4,9,14,6,13,4,1,10,11,13,2,6,2,5,11,1,11,8,12,1,1,7,7,8,5,3,0,2,2,2,14,6,13,10,14,9,4,11,9,7,3,0,0,7,4,6,11,1,7,11,7,0,10,12,13,5,12,2,13,9,13,0,5,0,13,4,12,14,7,0,3,8,2,9,2,7,4,12,10,6,12,8,4,4,14,13,1,9,13,14,10,3,10,11,13,14,6,1,8,8,9,3,6,11,1,11,2,9,11,4,2,3,3,3,10,8,12,2,1,10,11,3,2,7,11,6,10,1,8,6,10,9,1,1,5,3,11,0,10,14,7,6,6,10,8,8,10,8,5,14,13,12,5,4,0,7,0,4,3,9,6,6,0,12,5,2,10,5,6,9,13,14,8,8,9,7,3,8,12,3,14,1,2,12,4,3,0,8,11,5,14,9,9,13,0,13,14,2,5,13,5,1,5,0,12,4,7,1,5,5,12,3,11,12,10,4,0,4,7,7,12,14,9]"
